OrderID,OrderDate,Category,Product,State,Quantity,UnitPrice,Discount%,OrderStatus,PaymentMode,Channel,OrderAmount
OD20001,29-11-2024,Home,Wall Clock,West Bengal,1,718.62,0,Delivered,COD,Website,718.62
OD20002,31-01-2024,Fashion,T-Shirt,West Bengal,5,1121.85,10,Pending,Credit Card,Website,5048.32
OD20003,02-08-2024,Books,Notebook,Tamil Nadu,2,4394.38,10,Returned,Debit Card,Website,7909.88
OD20004,12-11-2024,Books,Novel,Delhi,2,4046.85,20,Delivered,Credit Card,Mobile App,6474.96
OD20005,25-09-2024,Electronics,Phone Cover,Tamil Nadu,4,7019.83,25,Delivered,Debit Card,Mobile App,21059.49
OD20006,08-12-2024,Beauty,Hair Oil,Delhi,1,6151.88,15,Delivered,UPI,Mobile App,5229.1
OD20007,25-12-2024,Beauty,Face Wash,Delhi,3,5229.96,25,Delivered,Debit Card,Mobile App,11767.41
OD20008,31-01-2024,Books,Novel,Rajasthan,2,6180.63,10,Pending,COD,Mobile App,11743.2
OD20009,08-08-2024,Books,Comic,Karnataka,5,2335.61,20,Delivered,Credit Card,Mobile App,9342.44
OD20010,28-10-2024,Fashion,T-Shirt,Rajasthan,2,2212.56,0,Delivered,Wallet,Website,4425.12
OD20011,22-07-2024,Beauty,Sunscreen,West Bengal,4,3243.84,25,Pending,UPI,Mobile App,9731.52
OD20012,01-01-2024,Books,Novel,Maharashtra,5,1337.43,0,Delivered,Debit Card,Mobile App,6687.15
OD20013,03-03-2024,Books,Comic,Rajasthan,1,6814.15,25,Cancelled,Debit Card,Mobile App,5110.61
OD20014,15-04-2024,Fashion,Handbag,Delhi,5,2989.76,0,Returned,Wallet,Mobile App,14948.8
OD20015,29-09-2024,Fashion,Jeans,UP,5,6265.58,15,Pending,Credit Card,Mobile App,26628.72
OD20016,01-07-2024,Fashion,Kurti,Rajasthan,6,377.49,0,Delivered,Debit Card,Mobile App,2264.94
OD20017,26-04-2024,Electronics,Power Bank,Maharashtra,4,1694.14,10,Cancelled,Debit Card,Website,6098.9
OD20018,01-09-2024,Electronics,Bluetooth Speaker,UP,2,3556.31,15,Delivered,UPI,Mobile App,6045.73
OD20019,18-03-2024,Fashion,Kurti,Delhi,5,7253.09,5,Returned,Wallet,Mobile App,34452.18
OD20020,26-09-2024,Electronics,Earbuds,Maharashtra,6,7478.95,20,Delivered,Credit Card,Mobile App,35898.96
OD20021,08-03-2024,Home,Curtain,West Bengal,1,7293.63,15,Cancelled,Wallet,Mobile App,6199.59
OD20022,13-08-2024,Books,Notebook,Delhi,2,4927.15,5,Delivered,Wallet,Mobile App,9361.58
OD20023,07-05-2024,Electronics,  Phone Cover,Delhi,2,2323.8,0,Returned,Debit Card,Mobile App,4647.6
OD20024,16-09-2024,Home,Table Lamp,Rajasthan,2,5638.86,10,Returned,COD,Mobile App,10149.95
OD20025,07-08-2024,Home,Bedsheet,UP,1,1819.61,10,Delivered,Credit Card,Mobile App,1637.65
OD20026,18-02-2024,Fashion,Sneakers,UP,4,7096.72,5,Pending,Debit Card,Mobile App,26967.54
OD20027,17-02-2024,Fashion,Jeans,Gujarat,6,3022.73,15,Returned,Debit Card,Website,15415.92
OD20028,13-02-2024,Electronics,Power Bank,Maharashtra,3,2284.58,5,Delivered,Debit Card,Mobile App,6511.05
OD20029,24-12-2024,Fashion,Handbag,Rajasthan,3,852.28,0,Pending,UPI,Mobile App,
OD20030,04-02-2024,Electronics,Phone Cover,UP,3,6922.78,25,Delivered,Credit Card,Website,15576.26
OD20031,23-03-2024,Books,Notebook,Maharashtra,3,545.48,10,Delivered,Credit Card,Mobile App,1472.8
OD20032,19-01-2024,Home,Bedsheet,Tamil Nadu,1,294.71,10,Returned,COD,Mobile App,265.24
OD20033,18-12-2024,Books,Guide Book,Tamil Nadu,2,7862.16,15,Delivered,Debit Card,Website,13365.67
